title	id	updated	published	summary	primary_category
"Dynamics of Voltage Driven Self-Sustained Oscillations in NdNiO$_3$
  Neuristors"	http://arxiv.org/abs/2303.09394v1	2023-03-15T07:37:57Z	2023-03-15T07:37:57Z	  Active memristor elements, also called neuristors, are self-oscillating devices that are very good approximations to biological neuronal functionality and are crucial to the development of low-power neuromorphic hardware. Materials that show conduction mechanisms that depend superlinearly with temperature can lead to negative differential resistance (NDR) regimes, which may further be engineered as self-oscillators. Thermal runaway, insulator to metal phase transitions (IMT) can lead to such superlinearity and are being extensively studied in systems such as TaO$_x$, NbO$_x$ and VO$_2$. However, ReNiO$_3$ systems that offer large tunability in metal-insulator transition temperatures are less explored so far. Here we demonstrate all-or-nothing neuron-like self-oscillations at MHz frequency and low temperatures on thin films of NdNiO$_3$, a model charge transfer insulator, and their frequency coding behavior. We study the temperature dependence of NDR and show that it vanishes even at temperatures below the IMT temperature. We also show that the threshold voltages scale with device size and that a simple electrothermal device model captures all these salient features. In contrast to existing models, our model correctly predicts the independence of oscillation amplitude with the applied voltage, offering crucial insights about the nature of fixed points in the NDR region, and the dynamics of non-linear oscillations about them. KEYWORDS: NDR, oscillations, thermal model. 	
"Machine Learning Approaches in Agile Manufacturing with Recycled
  Materials for Sustainability"	http://arxiv.org/abs/2303.08291v1	2023-03-15T00:39:31Z	2023-03-15T00:39:31Z	  It is important to develop sustainable processes in materials science and manufacturing that are environmentally friendly. AI can play a significant role in decision support here as evident from our earlier research leading to tools developed using our proposed machine learning based approaches. Such tools served the purpose of computational estimation and expert systems. This research addresses environmental sustainability in materials science via decision support in agile manufacturing using recycled and reclaimed materials. It is a safe and responsible way to turn a specific waste stream to value-added products. We propose to use data-driven methods in AI by applying machine learning models for predictive analysis to guide decision support in manufacturing. This includes harnessing artificial neural networks to study parameters affecting heat treatment of materials and impacts on their properties; deep learning via advances such as convolutional neural networks to explore grain size detection; and other classifiers such as Random Forests to analyze phrase fraction detection. Results with all these methods seem promising to embark on further work, e.g. ANN yields accuracy around 90\% for predicting micro-structure development as per quench tempering, a heat treatment process. Future work entails several challenges: investigating various computer vision models (VGG, ResNet etc.) to find optimal accuracy, efficiency and robustness adequate for sustainable processes; creating domain-specific tools using machine learning for decision support in agile manufacturing; and assessing impacts on sustainability with metrics incorporating the appropriate use of recycled materials as well as the effectiveness of developed products. Our work makes impacts on green technology for smart manufacturing, and is motivated by related work in the highly interesting realm of AI for materials science. 	
Rules of Engagement: Why and How Companies Participate in OSS	http://arxiv.org/abs/2303.08266v1	2023-03-14T22:45:44Z	2023-03-14T22:45:44Z	  Company engagement in open source (OSS) is now the new norm. From large technology companies to startups, companies are participating in the OSS ecosystem by open-sourcing their technology, sponsoring projects through funding or paid developer time. However, our understanding of the OSS ecosystem is rooted in the 'old world' model where individual contributors sustain OSS projects. In this work, we create a more comprehensive understanding of the hybrid OSS landscape by investigating what motivates companies to contribute and how they contribute to OSS. We conducted interviews with 20 participants who have different roles (e.g., CEO, OSPO Lead, Ecosystem Strategist) at 17 different companies of different sizes from large companies (e.g. Microsoft, RedHat, Google, Spotify) to startups. Data from semi-structured interviews reveal that company motivations can be categorized into four levels (Founders' Vision, Reputation, Business Advantage, and Reciprocity) and companies participate through different mechanisms (e.g., Developers' Time, Mentoring Time, Advocacy & Promotion Time), each of which tie to the different types of motivations. We hope our findings nudge more companies to participate in the OSS ecosystem, helping make it robust, diverse, and sustainable. 	
"On the contribution of the Hall term in small-scale magnetohydrodynamic
  dynamo"	http://arxiv.org/abs/2303.07857v1	2023-03-14T12:48:45Z	2023-03-14T12:48:45Z	  A detailed study of small-scale Hall magnetohydrodynamic dynamo has been performed both analytically and numerically. Assuming the magnetic field and the current to be separate fields, the contribution of the Hall term has been decomposed into two parts and their individual contributions have been studied separately. Calculating the scale-separated transfer rates described in Dar \textit{et. al.} (Physica D, 157 (207), 2001), it is found that the small-scale current fields are the primary contributors in sustaining large scale magnetic fields. Furthermore, the nature of the scale-to-scale fluxes are found to be globally intact with the ion inertial scale. 	
Glassy materials for Silicon-based solar panels: present and future	http://arxiv.org/abs/2303.07829v1	2023-03-14T12:06:51Z	2023-03-14T12:06:51Z	  About 2/3 of a commercial solar panel's weight is glass. This material should provide mechanical, chemical, and UV protection, contributing to the device's overall net energy production. Here we discuss some current trends in glassy materials for Silicon photovoltaics. The search for environmentally friendly glasses and new features such as anti-reflection, self-cleaning, and spectral conversion is reviewed. A conceptual model to compare UV-blocking and spectral converter materials is proposed, and the potential of these features to improve solar power production and its sustainability are discussed. 	
"Changes in mobility choices during the first wave of the COVID-19
  pandemic: a comparison between Italy and Sweden"	http://arxiv.org/abs/2303.07803v1	2023-03-14T11:19:26Z	2023-03-14T11:19:26Z	  The spread of COVID-19 disease affected people's lives worldwide, particularly their travel behaviours and how they performed daily activities. During the first wave of the pandemic, spring 2020, countries adopted different strategies to contain the spread of the virus. The aim of this paper is to analyse the changes in mobility behaviours, focusing on the sustainability level of modal choices caused by the pandemic in two countries with different containment policies in place: Italy and Sweden. Survey data uncovered which transport means was the most used for three different trip purposes (grocery shopping, non-grocery shopping and commuting) both before and during the first wave of the pandemic. The variation in the sustainability level of modal choices was then observed through descriptive statistics and significance tests. By estimating three multinomial logistic regression models, one for each trip purpose, we tried to identify which factors, beyond the country, affected the variation in the sustainability level of the modal choice with the beginning of the pandemic. Results show a greater reduction in mobility among the Italian sample compared to the Swedish one, especially for public transit, and a major inclination by Swedes in travelling by foot and by bike compared to Italians, also due to the greater possibility of making trips during the first wave of the pandemic. Finally, perceived safety on public transit seems to have no significant effects on the variation in the sustainability level of the modal choice with the beginning of restrictions. Our results can be used as a starting point for a discussion on how the COVID-19 pandemic affected attitudes and preferences towards the different travel alternatives. Also, in this work we highlighted how people reacted in different ways to an unprecedented situation in two Countries with opposite containment strategies in place. 	
"A Commons-Compatible Implementation of the Sharing Economy:
  Blockchain-Based Open Source Mediation"	http://arxiv.org/abs/2303.07786v1	2023-03-14T10:56:50Z	2023-03-14T10:56:50Z	  The network economical sharing economy, with direct exchange as a core characteristic, is implemented both, on a commons and platform economical basis. This is due to a gain in importance of trust, collaborative consumption and democratic management as well as technological progress, in the form of near zero marginal costs, open source contributions and digital transformation. Concurrent to these commons-based drivers, the grey area between commerce and private exchange is used to exploit work, safety and tax regulations by central platform economists. Instead of central intermediators, the blockchain technology makes decentralized consensus finding, using Proof-of-Work (PoW) within a self-sustaining Peer-to-Peer network, possible. Therefore, a blockchain-based open source mediation seems to offer a commons-compatible implementation of the sharing economy. This thesis is investigated through a qualitative case study of Sardex and Interlace with their blockchain application, based on expert interviews and a structured content analysis. To detect the most commons-compatible implementation, the different implementation options through conventional platform intermediators, an open source blockchain with PoW as well as Interlaces' permissioned blockchain approach, are compared. The following confrontation is based on deductive criteria, which illustrates the inherent characteristics of a commons-based sharing economy. 	
Entangled time-crystal phase in an open quantum light-matter system	http://arxiv.org/abs/2303.07725v1	2023-03-14T09:15:50Z	2023-03-14T09:15:50Z	  Time-crystals are nonequilibrium many-body phases in which the state of the system dynamically approaches a limit cycle. While these phases are recently in the focus of intensive research, it is still far from clear whether they can host quantum correlations. In fact, mostly classical correlations have been observed so far and time-crystals appear to be effectively classical high-entropy phases. Here, we consider the nonequilibrium behavior of an open quantum light-matter system, realizable in current experiments, which maps onto a paradigmatic time-crystal model after an adiabatic elimination of the light field. The system displays a bistable regime, with coexistent time-crystal and stationary phases, terminating at a tricritical point from which a second-order phase transition line departs. While light and matter are uncorrelated in the stationary phase, the time-crystal phase features bipartite correlations, both of quantum and classical nature. Our work unveils that time-crystal phases in collective open quantum systems can sustain quantum correlations, including entanglement, and are thus more than effectively classical many-body phases. 	
"Carbon-Neutralized Joint User Association and Base Station Switching for
  Green Cellular Networks"	http://arxiv.org/abs/2303.07702v1	2023-03-14T08:40:01Z	2023-03-14T08:40:01Z	  Mitigating climate change and its impacts is one of the sustainable development goals (SDGs) required by United Nations for an urgent action. Increasing carbon emissions due to human activities is the root cause to climate change. Telecommunication networks that provide service connectivity to mobile users contribute great amount of carbon emissions by consuming lots of non-renewable energy sources. Beyond the improvement on energy efficiency, to reduce the carbon footprint, telecom operators are increasing their adoption of renewable energy (e.g., wind power). The high variability of renewable energy in time and location; however, creates difficulties for operators when utilizing renewables for the reduction of carbon emissions. In this paper, we consider a heterogeneous network consisted of one macro base station (MBS) and multiple small base stations (SBSs) where each base station (BS) is powered by both of renewable and non-renewable energy. Different from the prior works that target on the total power consumption, we propose a novel scheme to minimize the carbon footprint of networks by dynamically switching the ON/OFF modes of SBSs and adjusting the association between users and BSs to access renewables as much as possible. Our numerical analysis shows that the proposed scheme significantly reduces up to 86% of the nonrenewable energy consumption compared to two representative baselines. 	
Architext: Language-Driven Generative Architecture Design	http://arxiv.org/abs/2303.07519v2	2023-03-15T16:07:05Z	2023-03-13T23:11:05Z	  Architectural design is a highly complex practice that involves a wide diversity of disciplines, technologies, proprietary design software, expertise, and an almost infinite number of constraints, across a vast array of design tasks. Enabling intuitive, accessible, and scalable design processes is an important step towards performance-driven and sustainable design for all. To that end, we introduce Architext, a novel semantic generation assistive tool. Architext enables design generation with only natural language prompts, given to large-scale Language Models, as input. We conduct a thorough quantitative evaluation of Architext's downstream task performance, focusing on semantic accuracy and diversity for a number of pre-trained language models ranging from 120 million to 6 billion parameters. Architext models are able to learn the specific design task, generating valid residential layouts at a near 100% rate. Accuracy shows great improvement when scaling the models, with the largest model (GPT-J) yielding impressive accuracy ranging between 25% to over 80% for different prompt categories. We open source the finetuned Architext models and our synthetic dataset, hoping to inspire experimentation in this exciting area of design research. 	
Optimization of the location and design of urban green spaces	http://arxiv.org/abs/2303.07202v1	2023-03-13T15:37:21Z	2023-03-13T15:37:21Z	  The recent promotion of sustainable urban planning combined with a growing need for public interventions to improve well-being and health have led to an increased collective interest for green spaces in and around cities. In particular, parks have proven a wide range of benefits in urban areas. This also means inequities in park accessibility may contribute to health inequities. In this work, we showcase the application of classic tools from Operations Research to assist decision-makers to improve parks' accessibility, distribution and design. Given the context of public decision-making, we are particularly concerned with equity and environmental justice, and are focused on an advanced assessment of users' behavior through a spatial interaction model. We present a two-stage fair facility location and design model, which serves as a template model to assist public decision-makers at the city-level for the planning of urban green spaces. The first-stage of the optimization model is about the optimal city-budget allocation to neighborhoods based on a data exposing inequality attributes. The second-stage seeks the optimal location and design of parks for each neighborhood, and the objective consists of maximizing the total expected probability of individuals visiting parks. We show how to reformulate the latter as a mixed-integer linear program. We further introduce a clustering method to reduce the size of the problem and determine a close to optimal solution within reasonable time. The model is tested using the case study of the city of Montreal and comparative results are discussed in detail to justify the performance of the model. 	
Mobile Mapping Mesh Change Detection and Update	http://arxiv.org/abs/2303.07182v1	2023-03-13T15:24:06Z	2023-03-13T15:24:06Z	  Mobile mapping, in particular, Mobile Lidar Scanning (MLS) is increasingly widespread to monitor and map urban scenes at city scale with unprecedented resolution and accuracy. The resulting point cloud sampling of the scene geometry can be meshed in order to create a continuous representation for different applications: visualization, simulation, navigation, etc. Because of the highly dynamic nature of these urban scenes, long term mapping should rely on frequent map updates. A trivial solution is to simply replace old data with newer data each time a new acquisition is made. However it has two drawbacks: 1) the old data may be of higher quality (resolution, precision) than the new and 2) the coverage of the scene might be different in various acquisitions, including varying occlusions. In this paper, we propose a fully automatic pipeline to address these two issues by formulating the problem of merging meshes with different quality, coverage and acquisition time. Our method is based on a combined distance and visibility based change detection, a time series analysis to assess the sustainability of changes, a mesh mosaicking based on a global boolean optimization and finally a stitching of the resulting mesh pieces boundaries with triangle strips. Finally, our method is demonstrated on Robotcar and Stereopolis datasets. 	
"Spontaneous flows and dynamics of full-integer topological defects in
  polar active matter"	http://arxiv.org/abs/2303.07063v1	2023-03-13T12:37:20Z	2023-03-13T12:37:20Z	  Polar active matter of self-propelled particles sustain spontaneous flows through the full-integer topological defects. We study theoretically the effect of both polar and dipolar active forces on the flow profile around $\pm 1$ defects and their interaction in the presence of both viscosity and frictional dissipation. The vorticity induced by the active stress is non-zero at the $+1$ defect contributing to the active torque acting on the defect. A near-core flow reversal is predicted in absence of hydrodynamic screening (zero friction) as observed in numerical simulations. While $\pm 1$ defects are sources of spontaneous flows due to active stresses, they become sinks of flows induced by the polar active forces. We show analytically that the flow velocity induced by polar active forces increases away from a $\pm 1$ defect towards the uniform far-field, while its associated vorticity field decays as $1/r$ in the far-field. In the friction-dominated regime, we demonstrate that the flow induced by polar active forces enhances defect pair annihilation, and depends only on the orientation between a pair of oppositely charged defects relative to the orientation of the background polarization field. Interestingly, we find that this annihilation dynamics through mutual defect-defect interactions is distance independent, in contradiction with the effect of dipolar active forces which decay inversely proportional to the defect separation distance. As such, our analyses reveals a new, truly long-ranged mechanism for the pairwise interaction of oppositely-charged topological defects in polar active matter. 	
"Energy Management System for a Low Voltage Direct Current Microgrid:
  Modeling and experimental validation"	http://arxiv.org/abs/2303.06997v1	2023-03-13T10:52:37Z	2023-03-13T10:52:37Z	  In the field of microgrids with a significant integration of Renewable Energy Sources, the efficient and practical power storage systems requirement is causing DC microgrids to gain increasing attention. However, uncertainties in power generation and load consumption along with the fluctuations of electricity prices require the design of a reliable control architecture and a robust energy management system for enhancing the power quality and its sustainability, while minimizing the associated costs. This paper presents a mixed approach illustrating both simulation and experimental results of a grid-connected DC microgrid which includes a photovoltaic power source and a battery storage system. Special emphasis is placed on the minimization of the total operating cost of the microgrid while considering the battery degradation cost and the electricity tariff. Thereby, an optimal energy management system is proposed for Energy Storage Systems scheduling and enabling the minimization of the electricity bill based on simple models. Simultaneously, the differences between simulation and laboratory performances are highlighted. 	
Improved refrigeration in presence of non-Markovian spin-environment	http://arxiv.org/abs/2303.06712v1	2023-03-12T17:28:35Z	2023-03-12T17:28:35Z	  We explore a small quantum refrigerator consisting of three qubits each of which are kept in contact with an environment. We consider two settings: one is when there is necessarily transient cooling and the other is when both steady-state and transient cooling prevail. We show that there can be significant advantages than the Markovian environments case for both these settings in the transient regime and also in equilibrium if we replace the bath attached to the cold qubit by a non-Markovian reservoir. We also consider refrigeration with more than one non-Markovian bath of the three-qubit refrigerating device. Curiously, a steady temperature is reached only if there are at least two Markovian environments, although there are distinct envelopes of the temperature oscillations in all cases. We compare the device connected to one or more non-Markovian reservoirs with the case of all Markovian environs, as also with two- and single-qubit self-sustained devices connected to one or more non-Markovian baths. We propose a measure to quantify the amount of non-Markovianity in the systems. Finally, the refrigerator models are studied in presence of Markovian noise, and we analyse the response on the refrigeration of the noise strength. In particular, we find the noise strength until which refrigeration remains possible. 	
"Frugal Computing -- On the need for low-carbon and sustainable computing
  and the path towards zero-carbon computing"	http://arxiv.org/abs/2303.06642v1	2023-03-12T12:02:21Z	2023-03-12T12:02:21Z	  The current emissions from computing are almost 4% of the world total. This is already more than emissions from the airline industry and are projected to rise steeply over the next two decades. By 2040 emissions from computing alone will account for more than half of the emissions budget to keep global warming below 1.5$^\circ$C. Consequently, this growth in computing emissions is unsustainable. The emissions from production of computing devices exceed the emissions from operating them, so even if devices are more energy efficient producing more of them will make the emissions problem worse. Therefore we must extend the useful life of our computing devices. As a society we need to start treating computational resources as finite and precious, to be utilised only when necessary, and as effectively as possible. We need frugal computing: achieving our aims with less energy and material. 	
"The impacts of remote work on travel: insights from nearly three years
  of monthly surveys"	http://arxiv.org/abs/2303.06186v1	2023-03-10T19:40:50Z	2023-03-10T19:40:50Z	"  Remote work has expanded dramatically since 2020, upending longstanding travel patterns and behavior. More fundamentally, the flexibility for remote workers to choose when and where to work has created much stronger connections between travel behavior and organizational behavior. This paper uses a large and comprehensive monthly longitudinal survey over nearly three years to identify new trends in work location choice, mode choice and departure time of remote workers. The travel behavior of remote workers is found to be highly associated with employer characteristics, task characteristics, employer remote work policies, coordination between colleagues and attitudes towards remote work. Approximately one third of all remote work hours are shown to take place outside of the home, accounting for over one third of all commuting trips. These commutes to ""third places"" are shorter, less likely to occur during peak periods, and more likely to use sustainable travel modes than commutes to an employer's primary workplace. Hybrid work arrangements are also associated with a greater number of non-work trips than fully remote and fully in-person arrangements. Implications of this research for policy makers, shared mobility provides and land use planning are discussed. "	
Unifying Grokking and Double Descent	http://arxiv.org/abs/2303.06173v1	2023-03-10T19:16:53Z	2023-03-10T19:16:53Z	  A principled understanding of generalization in deep learning may require unifying disparate observations under a single conceptual framework. Previous work has studied \emph{grokking}, a training dynamic in which a sustained period of near-perfect training performance and near-chance test performance is eventually followed by generalization, as well as the superficially similar \emph{double descent}. These topics have so far been studied in isolation. We hypothesize that grokking and double descent can be understood as instances of the same learning dynamics within a framework of pattern learning speeds. We propose that this framework also applies when varying model capacity instead of optimization steps, and provide the first demonstration of model-wise grokking. 	
"Reinforcement Learning Versus Model Predictive Control on Greenhouse
  Climate Control"	http://arxiv.org/abs/2303.06110v1	2023-03-10T17:59:51Z	2023-03-10T17:59:51Z	  Greenhouse is an important protected horticulture system for feeding the world with enough fresh food. However, to maintain an ideal growing climate in a greenhouse requires resources and operational costs. In order to achieve economical and sustainable crop growth, efficient climate control of greenhouse production becomes essential. Model Predictive Control (MPC) is the most commonly used approach in the scientific literature for greenhouse climate control. However, with the developments of sensing and computing techniques, reinforcement learning (RL) is getting increasing attention recently. With each control method having its own way to state the control problem, define control goals, and seek for optimal control actions, MPC and RL are representatives of model-based and learning-based control approaches, respectively. Although researchers have applied certain forms of MPC and RL to control the greenhouse climate, very few effort has been allocated to analyze connections, differences, pros and cons between MPC and RL either from a mathematical or performance perspective. Therefore, this paper will 1) propose MPC and RL approaches for greenhouse climate control in an unified framework; 2) analyze connections and differences between MPC and RL from a mathematical perspective; 3) compare performance of MPC and RL in a simulation study and afterwards present and interpret comparative results into insights for the application of the different control approaches in different scenarios. 	
Sustainability Analysis Framework for On-Demand Public Transit Systems	http://arxiv.org/abs/2303.06007v1	2023-03-10T16:09:51Z	2023-03-10T16:09:51Z	  There is an increased interest from transit agencies to replace fixed-route transit services with on-demand public transits (ODT). However, it is still unclear when and where such a service is efficient and sustainable. To this end, we provide a comprehensive framework for assessing the sustainability of ODT systems from the perspective of overall efficiency, environmental footprint, and social equity and inclusion. The proposed framework is illustrated by applying it to the Town of Innisfil, Ontario, where an ODT system has been implemented since 2017. It can be concluded that when there is adequate supply and no surge pricing, crowdsourced ODTs are the most cost-effective transit system when the demand is below 3.37 riders/km2/day. With surge pricing applied to crowdsourced ODTs, hybrid systems become the most cost-effective transit solution when demand ranges between 1.18 and 3.37 riders/km2/day. The use of private vehicles is more environmentally sustainable than providing public transit service at all demand levels below 3.37 riders/km2/day. However, the electrification of the public transit fleet along with optimized charging strategies can reduce total yearly GHG emissions by more than 98%. Furthermore, transit systems have similar equity distributions for waiting and in-vehicle travel times. 	
"Monitoring Gender Gaps via LinkedIn Advertising Estimates: the case
  study of Italy"	http://arxiv.org/abs/2303.05862v1	2023-03-10T11:32:45Z	2023-03-10T11:32:45Z	  Women remain underrepresented in the labour market. Although significant advancements are being made to increase female participation in the workforce, the gender gap is still far from being bridged. We contribute to the growing literature on gender inequalities in the labour market, evaluating the potential of the LinkedIn estimates to monitor the evolution of the gender gaps sustainably, complementing the official data sources. In particular, assessing the labour market patterns at a subnational level in Italy. Our findings show that the LinkedIn estimates accurately capture the gender disparities in Italy regarding sociodemographic attributes such as gender, age, geographic location, seniority, and industry category. At the same time, we assess data biases such as the digitalisation gap, which impacts the representativity of the workforce in an imbalanced manner, confirming that women are under-represented in Southern Italy. Additionally to confirming the gender disparities to the official census, LinkedIn estimates are a valuable tool to provide dynamic insights; we showed an immigration flow of highly skilled women, predominantly from the South. Digital surveillance of gender inequalities with detailed and timely data is particularly significant to enable policymakers to tailor impactful campaigns. 	
